MasterFile,KABCO_Mod,Mode,Disadvantaged Com ID,MannerofCollision_Real,CollisionDate,CollisionTime,ParkingLotIndicator,IntersectionWith_Indicator_,Milepoint,NumberInjured,NumberKilled,ofUnits,ofMotorVeh,Hit&RunIndicator,OneWayIndicator,InCityLimitsIndicator,Latitude,Longitude,MannerofCollisionCode,TotalLanes,RoadwayCharacterCode,RoadwaySurfaceCode,RoadwayConditionCode,WeatherCode,LightConditionCode,FirstAidSceneIndicator,TimeNotified,TimeArrived,MedianCros,YR,KABCO,Motorcyclist,CommercialVehicle,YoungDriver,MatureDriver,Pedestrian,Bicyclist,Distracted,agressive,Impaired,Unrestrain,RoadwayDep,MedXover
72390005,O,Motor Vehicle,Non DAC,,20190529,1302.0,N,N,10.583,0,0,1,1.0,N,N,N,37.61946,-84.82534,9.0,2.0,1.0,1.0,5.0,6.0,2.0,N,1305,1316,N,2019.0,O,0,0,0,0,0,0,0,0,0,0.0,1.0,0.0
72390049,O,Motor Vehicle,DAC,SIDESWIPE-SAME DIRECTION,20190805,1521.0,N,N,3.437,0,0,2,2.0,N,N,Y,37.61753,-84.77449,8.0,6.0,6.0,1.0,1.0,2.0,2.0,N,1521,1525,N,2019.0,O,0,0,0,1,0,0,1,1,0,0.0,1.0,0.0
72390050,O,Motor Vehicle,DAC,,20190806,1548.0,N,N,4.209,0,0,2,2.0,N,N,Y,37.62848,-84.77475,1.0,5.0,6.0,1.0,1.0,2.0,2.0,N,1551,1554,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
72390862,O,Motor Vehicle,Non DAC,,20190808,1549.0,N,Y,3.199,0,0,2,2.0,N,N,Y,37.6486,-84.8032,5.0,3.0,6.0,1.0,1.0,2.0,2.0,N,1555,1555,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,0.0,0.0
72390892,O,Motor Vehicle,DAC,,20190807,1241.0,N,N,5.579,0,0,2,2.0,N,N,Y,37.64603,-84.77504,2.0,2.0,6.0,1.0,1.0,2.0,2.0,N,1213,1214,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72391166,B,Motor Vehicle,DAC,,20190809,1635.0,N,Y,0.077,1,0,2,2.0,N,N,Y,37.64886,-84.77052,1.0,2.0,6.0,1.0,1.0,2.0,2.0,Y,1635,1638,N,2019.0,B,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0
72391446,O,Motor Vehicle,DAC,,20190810,1340.0,N,N,0.118,0,0,2,2.0,N,N,Y,37.62736,-84.76488,2.0,2.0,4.0,1.0,1.0,2.0,2.0,N,1340,1346,N,2019.0,O,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0
72392296,O,Motor Vehicle,DAC,,20190812,553.0,N,N,13.294,0,0,2,2.0,N,N,Y,37.64578,-84.78614,3.0,2.0,6.0,1.0,1.0,2.0,1.0,N,555,555,N,2019.0,O,0,0,1,0,0,0,1,0,0,0.0,1.0,0.0
72392700,O,Motor Vehicle,Non DAC,,20190813,1354.0,N,Y,0.312,0,0,1,1.0,N,N,Y,37.65214,-84.77761,9.0,2.0,5.0,1.0,1.0,3.0,2.0,N,1355,1357,N,2019.0,O,0,1,0,0,0,0,0,0,0,0.0,0.0,0.0
72392829,O,Motor Vehicle,DAC,REAR END,20190813,1623.0,N,Y,0.672,0,0,2,2.0,N,N,Y,37.6173,-84.78956,5.0,2.0,1.0,1.0,1.0,2.0,2.0,N,1625,1628,N,2019.0,O,0,0,0,0,0,0,1,1,0,0.0,0.0,0.0
